"common_name","scientific_name","order","family","genus","group_key","group_name","group_note"
"Wood Duck","Aix sponsa","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Aix","nonpass","Non-Passerines","Not a clade -- just ""everything outside Passeriformes."" Kept as one group since splitting it by habitat breaks phylogenetic-sequence order (waterbirds/landbirds are interleaved, not adjacent)."
"Wild Turkey","Meleagris gallopavo","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Meleagris","nonpass","Non-Passerines","Not a clade -- just ""everything outside Passeriformes."" Kept as one group since splitting it by habitat breaks phylogenetic-sequence order (waterbirds/landbirds are interleaved, not adjacent)."
"Mourning Dove","Zenaida macroura","Columbiformes","Columbidae (Pigeons and Doves)","Zenaida","nonpass","Non-Passerines","Not a clade -- just ""everything outside Passeriformes."" Kept as one group since splitting it by habitat breaks phylogenetic-sequence order (waterbirds/landbirds are interleaved, not adjacent)."
"Chimney Swift","Chaetura pelagica","Apodiformes","Apodidae (Swifts)","Chaetura","nonpass","Non-Passerines","Not a clade -- just ""everything outside Passeriformes."" Kept as one group since splitting it by habitat breaks phylogenetic-sequence order (waterbirds/landbirds are interleaved, not adjacent)."
"Ruby-throated Hummingbird","Archilochus colubris","Apodiformes","Trochilidae (Hummingbirds)","Archilochus","nonpass","Non-Passerines","Not a clade -- just ""everything outside Passeriformes."" Kept as one group since splitting it by habitat breaks phylogenetic-sequence order (waterbirds/landbirds are interleaved, not adjacent)."
"Double-crested Cormorant","Nannopterum auritum","Suliformes","Phalacrocoracidae (Cormorants and Shags)","Nannopterum","nonpass","Non-Passerines","Not a clade -- just ""everything outside Passeriformes."" Kept as one group since splitting it by habitat breaks phylogenetic-sequence order (waterbirds/landbirds are interleaved, not adjacent)."
"Great Blue Heron","Ardea herodias","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Ardea","nonpass","Non-Passerines","Not a clade -- just ""everything outside Passeriformes."" Kept as one group since splitting it by habitat breaks phylogenetic-sequence order (waterbirds/landbirds are interleaved, not adjacent)."
"Turkey Vulture","Cathartes aura","Cathartiformes","Cathartidae (New World Vultures)","Cathartes","corvides","Birds of Prey, Corvids","Not a clade -- just ""everything outside Passeriformes."" Kept as one group since splitting it by habitat breaks phylogenetic-sequence order (waterbirds/landbirds are interleaved, not adjacent)."
"Cooper's Hawk","Astur cooperii","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Astur","corvides","Birds of Prey, Corvids","Not a clade -- just ""everything outside Passeriformes."" Kept as one group since splitting it by habitat breaks phylogenetic-sequence order (waterbirds/landbirds are interleaved, not adjacent)."
"Red-tailed Hawk","Buteo jamaicensis","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Buteo","corvides","Birds of Prey, Corvids","Not a clade -- just ""everything outside Passeriformes."" Kept as one group since splitting it by habitat breaks phylogenetic-sequence order (waterbirds/landbirds are interleaved, not adjacent)."
"Red-bellied Woodpecker","Melanerpes carolinus","Piciformes","Picidae (Woodpeckers)","Melanerpes","nonpass","Non-Passerines","Not a clade -- just ""everything outside Passeriformes."" Kept as one group since splitting it by habitat breaks phylogenetic-sequence order (waterbirds/landbirds are interleaved, not adjacent)."
"Downy Woodpecker","Dryobates pubescens","Piciformes","Picidae (Woodpeckers)","Dryobates","nonpass","Non-Passerines","Not a clade -- just ""everything outside Passeriformes."" Kept as one group since splitting it by habitat breaks phylogenetic-sequence order (waterbirds/landbirds are interleaved, not adjacent)."
"Hairy Woodpecker","Leuconotopicus villosus","Piciformes","Picidae (Woodpeckers)","Leuconotopicus","nonpass","Non-Passerines","Not a clade -- just ""everything outside Passeriformes."" Kept as one group since splitting it by habitat breaks phylogenetic-sequence order (waterbirds/landbirds are interleaved, not adjacent)."
"Northern Flicker","Colaptes auratus","Piciformes","Picidae (Woodpeckers)","Colaptes","nonpass","Non-Passerines","Not a clade -- just ""everything outside Passeriformes."" Kept as one group since splitting it by habitat breaks phylogenetic-sequence order (waterbirds/landbirds are interleaved, not adjacent)."
"Eastern Wood-Pewee","Contopus virens","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Contopus","tyranni","Flycatchers","True clade. Deepest split in the tree: suboscines vs. all other songbirds here."
"Eastern Phoebe","Sayornis phoebe","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Sayornis","tyranni","Flycatchers","True clade. Deepest split in the tree: suboscines vs. all other songbirds here."
"Great Crested Flycatcher","Myiarchus crinitus","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Myiarchus","tyranni","Flycatchers","True clade. Deepest split in the tree: suboscines vs. all other songbirds here."
"Blue-headed Vireo","Vireo solitarius","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Vireo","certh","Tiny Tiny Birds!","True clade (core Corvoidea)."
"Eastern Warbling Vireo","Vireo gilvus","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Vireo","certh","Tiny Tiny Birds!","True clade (core Corvoidea)."
"Red-eyed Vireo","Vireo olivaceus","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Vireo","certh","Tiny Tiny Birds!","True clade (core Corvoidea)."
"Blue Jay","Cyanocitta cristata","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Cyanocitta","corvides","Birds of Prey, Corvids","True clade (core Corvoidea)."
"American Crow","Corvus brachyrhynchos","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Corvus","corvides","Birds of Prey, Corvids","True clade (core Corvoidea)."
"Common Raven","Corvus corax","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Corvus","corvides","Birds of Prey, Corvids","True clade (core Corvoidea)."
"Black-capped Chickadee","Poecile atricapillus","Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Poecile","certh","Tiny Tiny Birds!","Certhioidea is a true clade; Paroidea (chickadee/titmouse) and Sylvioidea (swallow) are merged in for size -- both are early-branching Passerida lineages, not sisters to Certhioidea or to each other. (""Early"" = branches off early in the phylogenetic tree, unrelated to migration timing.)"
"Tufted Titmouse","Baeolophus bicolor","Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Baeolophus","certh","Tiny Tiny Birds!","Certhioidea is a true clade; Paroidea (chickadee/titmouse) and Sylvioidea (swallow) are merged in for size -- both are early-branching Passerida lineages, not sisters to Certhioidea or to each other. (""Early"" = branches off early in the phylogenetic tree, unrelated to migration timing.)"
"Tree Swallow","Tachycineta bicolor","Passeriformes","Hirundinidae (Swallows)","Tachycineta","certh","Tiny Tiny Birds!","Certhioidea is a true clade; Paroidea (chickadee/titmouse) and Sylvioidea (swallow) are merged in for size -- both are early-branching Passerida lineages, not sisters to Certhioidea or to each other. (""Early"" = branches off early in the phylogenetic tree, unrelated to migration timing.)"
"White-breasted Nuthatch","Sitta carolinensis","Passeriformes","Sittidae (Nuthatches)","Sitta","certh","Tiny Tiny Birds!","Certhioidea is a true clade; Paroidea (chickadee/titmouse) and Sylvioidea (swallow) are merged in for size -- both are early-branching Passerida lineages, not sisters to Certhioidea or to each other. (""Early"" = branches off early in the phylogenetic tree, unrelated to migration timing.)"
"Red-breasted Nuthatch","Sitta canadensis","Passeriformes","Sittidae (Nuthatches)","Sitta","certh","Tiny Tiny Birds!","Certhioidea is a true clade; Paroidea (chickadee/titmouse) and Sylvioidea (swallow) are merged in for size -- both are early-branching Passerida lineages, not sisters to Certhioidea or to each other. (""Early"" = branches off early in the phylogenetic tree, unrelated to migration timing.)"
"Brown Creeper","Certhia americana","Passeriformes","Certhiidae (Treecreepers)","Certhia","certh","Tiny Tiny Birds!","Certhioidea is a true clade; Paroidea (chickadee/titmouse) and Sylvioidea (swallow) are merged in for size -- both are early-branching Passerida lineages, not sisters to Certhioidea or to each other. (""Early"" = branches off early in the phylogenetic tree, unrelated to migration timing.)"
"Blue-gray Gnatcatcher","Polioptila caerulea","Passeriformes","Polioptilidae (Gnatcatchers)","Polioptila","certh","Tiny Tiny Birds!","Certhioidea is a true clade; Paroidea (chickadee/titmouse) and Sylvioidea (swallow) are merged in for size -- both are early-branching Passerida lineages, not sisters to Certhioidea or to each other. (""Early"" = branches off early in the phylogenetic tree, unrelated to migration timing.)"
"Northern House Wren","Troglodytes aedon","Passeriformes","Troglodytidae (Wrens)","Troglodytes","certh","Tiny Tiny Birds!","Certhioidea is a true clade; Paroidea (chickadee/titmouse) and Sylvioidea (swallow) are merged in for size -- both are early-branching Passerida lineages, not sisters to Certhioidea or to each other. (""Early"" = branches off early in the phylogenetic tree, unrelated to migration timing.)"
"Carolina Wren","Thryothorus ludovicianus","Passeriformes","Troglodytidae (Wrens)","Thryothorus","certh","Tiny Tiny Birds!","Certhioidea is a true clade; Paroidea (chickadee/titmouse) and Sylvioidea (swallow) are merged in for size -- both are early-branching Passerida lineages, not sisters to Certhioidea or to each other. (""Early"" = branches off early in the phylogenetic tree, unrelated to migration timing.)"
"European Starling","Sturnus vulgaris","Passeriformes","Sturnidae (Starlings)","Sturnus","musci","Catbird, Thrushes, Waxwings","True clade."
"Gray Catbird","Dumetella carolinensis","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Dumetella","musci","Catbird, Thrushes, Waxwings","True clade."
"Northern Mockingbird","Mimus polyglottos","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Mimus","musci","Catbird, Thrushes, Waxwings","True clade."
"Eastern Bluebird","Sialia sialis","Passeriformes","Turdidae (Thrushes and Allies)","Sialia","musci","Catbird, Thrushes, Waxwings","True clade."
"Swainson's Thrush","Catharus ustulatus","Passeriformes","Turdidae (Thrushes and Allies)","Catharus","musci","Catbird, Thrushes, Waxwings","True clade."
"Wood Thrush","Hylocichla mustelina","Passeriformes","Turdidae (Thrushes and Allies)","Hylocichla","musci","Catbird, Thrushes, Waxwings","True clade."
"American Robin","Turdus migratorius","Passeriformes","Turdidae (Thrushes and Allies)","Turdus","musci","Catbird, Thrushes, Waxwings","True clade."
"Cedar Waxwing","Bombycilla cedrorum","Passeriformes","Bombycillidae (Waxwings)","Bombycilla","musci","Catbird, Thrushes, Waxwings","True clade."
