Day of May,Night,Average Birds in Flight,Total Birds Crossed
1,Apr 30,600,
2,May 1,2900,
3,May 2,800,
4,May 3,800,
5,May 4,4300,
6,May 5,3800,
7,May 6,200,
8,May 7,400,
9,May 8,1200,
10,May 9,500,
11,May 10,6800,
12,May 11,1900,
13,May 12,11000,
14,May 13,1400,
15,May 14,800,
16,May 15,4000,
17,May 16,13900,
18,May 17,12500,
19,May 18,10900,
20,May 19,5400,
21,May 20,1000,
22,May 21,500,
23,May 22,1800,
24,May 23,500,
25,May 24,100,
26,May 25,5300,
27,May 26,7800,
28,May 27,1700,
29,May 28,700,
30,May 29,1000,
31,May 30,100,
