"state_name","species_code","common_name","scientific_name","percent_pop_breeding","percent_pop_postbreeding_migration","percent_pop_nonbreeding","percent_pop_prebreeding_migration","max_week_season","max_week","max_week_percent_pop","state_rank_breeding","breeding_habitat_primary","breeding_habitat_secondary"
"Massachusetts","acafly","Acadian Flycatcher","Empidonax virescens",0.02,0,0,0,"breeding","06-07",0.02314,"30 of 32","Forests:  Temperate Eastern",NA
"Massachusetts","aldfly","Alder Flycatcher","Empidonax alnorum",0.05,0.04,0,0.11,"prebreeding_migration","05-17",2.063,"10 of 12","Wetlands:  Boreal","Wetlands:  Forested"
"Massachusetts","ambduc","American Black Duck","Anas rubripes",0.31,1.17,10.7,3.32,"nonbreeding","02-08",14.56,"5 of 16","Wetlands:  Boreal","Coasts:  Saltmarsh"
"Massachusetts","amebit","American Bittern","Botaurus lentiginosus",0.03,0.15,0.05,0.11,"prebreeding_migration","04-19",0.6571,"19 of 26","Wetlands:  Freshwater Marsh",NA
"Massachusetts","amecro","American Crow","Corvus brachyrhynchos",0.29,0.47,1.6,0.78,"prebreeding_migration","02-01",1.995,"40 of 49","Open Country:  Habitat Mosaic","Open Country:  Developed/Disturbed"
"Massachusetts","amegfi","American Goldfinch","Spinus tristis",0.78,0.62,0.48,0.89,"prebreeding_migration","04-26",1.106,"27 of 45","Open Country:  Habitat Mosaic",NA
"Massachusetts","amekes","American Kestrel","Falco sparverius",0.01,0.02,0,0.05,"prebreeding_migration","04-19",0.1278,"44 of 44","Open Country:  Habitat Mosaic",NA
"Massachusetts","ameoys","American Oystercatcher","Haematopus palliatus",0.69,0.51,0,0.28,"postbreeding_migration","08-16",0.8766,"8 of 17","Coasts:  Beach and Estuary",NA
"Massachusetts","amepip","American Pipit","Anthus rubescens",0,0.03,0.01,0,"postbreeding_migration","11-01",0.3401,NA,"Tundra:  Alpine","Tundra:  Arctic"
"Massachusetts","amered","American Redstart","Setophaga ruticilla",0.38,0.38,0,0.52,"prebreeding_migration","05-17",0.9315,"14 of 36","Forests:  Temperate Generalist",NA
"Massachusetts","amerob","American Robin","Turdus migratorius",0.38,0.65,0.52,0.34,"postbreeding_migration","10-25",0.9959,"32 of 48","Forests:  Temperate Generalist",NA
"Massachusetts","amewig","American Wigeon","Mareca americana",0,0.01,0.03,0.01,"postbreeding_migration","12-06",0.03845,NA,"Wetlands:  Seasonally Wet Grasslands","Wetlands:  Freshwater Marsh"
"Massachusetts","amewoo","American Woodcock","Scolopax minor",1.03,1.33,0.05,2.19,"postbreeding_migration","11-08",8.515,"6 of 21","Forests:  Temperate Eastern","Forests:  Boreal"
