"Submission.ID","Common.Name","Scientific.Name","Taxonomic.Order","Count","State.Province","Location","Date","Time","Protocol","Duration..Min.","All.Obs.Reported","Distance.Traveled..km.","Area.Covered..ha.","Number.of.Observers","Breeding.Code","ML.Catalog.Numbers"
"CHK-0006","Canada Goose","Branta canadensis",342,"2","US-MA","Local Park","2026-04-13","09:59 AM","eBird - Traveling Count",60,1,1.624,NA,2,"",NA
"CHK-0018","Wood Duck","Aix sponsa",455,"2","US-MA","Local Park","2026-05-11","09:42 AM","eBird - Traveling Count",70,1,0.838,NA,1,"",NA
"CHK-0014","Wild Turkey","Meleagris gallopavo",1274,"1","US-MA","Local Park","2026-05-05","09:27 AM","eBird - Traveling Count",66,1,1.051,NA,1,"",NA
"CHK-0020","Wild Turkey","Meleagris gallopavo",1274,"1","US-MA","Local Park","2026-05-13","06:10 AM","eBird - Traveling Count",69,1,0.952,NA,1,"",NA
"CHK-0003","Mourning Dove","Zenaida macroura",2412,"1","US-MA","Local Park","2026-03-27","09:12 AM","eBird - Traveling Count",55,1,1.539,NA,1,"",NA
"CHK-0009","Mourning Dove","Zenaida macroura",2412,"1","US-MA","Local Park","2026-04-22","09:55 AM","eBird - Traveling Count",58,1,1.744,NA,1,"",NA
"CHK-0011","Mourning Dove","Zenaida macroura",2412,"2","US-MA","Local Park","2026-05-03","06:20 AM","eBird - Traveling Count",60,1,0.886,NA,1,"",NA
"CHK-0013","Mourning Dove","Zenaida macroura",2412,"2","US-MA","Local Park","2026-05-05","06:16 AM","eBird - Traveling Count",65,1,0.806,NA,1,"",NA
"CHK-0014","Mourning Dove","Zenaida macroura",2412,"1","US-MA","Local Park","2026-05-05","09:27 AM","eBird - Traveling Count",66,1,1.051,NA,1,"",NA
"CHK-0019","Mourning Dove","Zenaida macroura",2412,"1","US-MA","Local Park","2026-05-11","06:24 AM","eBird - Traveling Count",72,1,0.953,NA,1,"",NA
"CHK-0018","Mourning Dove","Zenaida macroura",2412,"2","US-MA","Local Park","2026-05-11","09:42 AM","eBird - Traveling Count",70,1,0.838,NA,1,"",NA
"CHK-0020","Mourning Dove","Zenaida macroura",2412,"2","US-MA","Local Park","2026-05-13","06:10 AM","eBird - Traveling Count",69,1,0.952,NA,1,"",NA
"CHK-0021","Mourning Dove","Zenaida macroura",2412,"1","US-MA","Local Park","2026-05-13","09:53 AM","eBird - Traveling Count",65,1,0.938,NA,1,"",NA
"CHK-0025","Mourning Dove","Zenaida macroura",2412,"1","US-MA","Local Park","2026-05-18","06:05 AM","eBird - Traveling Count",72,1,0.974,NA,1,"",NA
"CHK-0038","Mourning Dove","Zenaida macroura",2412,"4","US-MA","Local Park","2026-05-29","06:28 AM","eBird - Traveling Count",66,1,0.945,NA,1,"",NA
"CHK-0039","Mourning Dove","Zenaida macroura",2412,"1","US-MA","Local Park","2026-05-29","09:35 AM","eBird - Traveling Count",65,1,0.993,NA,1,"",NA
"CHK-0014","Chimney Swift","Chaetura pelagica",3896,"2","US-MA","Local Park","2026-05-05","09:27 AM","eBird - Traveling Count",66,1,1.051,NA,1,"",NA
"CHK-0015","Chimney Swift","Chaetura pelagica",3896,"4","US-MA","Local Park","2026-05-08","06:22 AM","eBird - Traveling Count",70,1,0.981,NA,1,"",NA
"CHK-0016","Chimney Swift","Chaetura pelagica",3896,"4","US-MA","Local Park","2026-05-08","09:42 AM","eBird - Traveling Count",61,1,1.015,NA,1,"",NA
"CHK-0019","Chimney Swift","Chaetura pelagica",3896,"1","US-MA","Local Park","2026-05-11","06:24 AM","eBird - Traveling Count",72,1,0.953,NA,1,"",NA
"CHK-0018","Chimney Swift","Chaetura pelagica",3896,"2","US-MA","Local Park","2026-05-11","09:42 AM","eBird - Traveling Count",70,1,0.838,NA,1,"",NA
"CHK-0021","Chimney Swift","Chaetura pelagica",3896,"2","US-MA","Local Park","2026-05-13","09:53 AM","eBird - Traveling Count",65,1,0.938,NA,1,"",NA
"CHK-0025","Chimney Swift","Chaetura pelagica",3896,"3","US-MA","Local Park","2026-05-18","06:05 AM","eBird - Traveling Count",72,1,0.974,NA,1,"",NA
"CHK-0026","Chimney Swift","Chaetura pelagica",3896,"2","US-MA","Local Park","2026-05-18","09:53 AM","eBird - Traveling Count",71,1,0.97,NA,1,"",NA
"CHK-0027","Chimney Swift","Chaetura pelagica",3896,"6","US-MA","Local Park","2026-05-19","06:43 AM","eBird - Traveling Count",73,1,0.965,NA,1,"",NA
"CHK-0023","Chimney Swift","Chaetura pelagica",3896,"11","US-MA","Local Park","2026-05-19","09:54 AM","eBird - Traveling Count",71,1,1.072,NA,1,"",NA
"CHK-0024","Chimney Swift","Chaetura pelagica",3896,"2","US-MA","Local Park","2026-05-20","06:51 AM","eBird - Traveling Count",66,1,0.931,NA,1,"",NA
"CHK-0028","Chimney Swift","Chaetura pelagica",3896,"4","US-MA","Local Park","2026-05-20","09:51 AM","eBird - Traveling Count",64,1,0.933,NA,1,"",NA
"CHK-0032","Chimney Swift","Chaetura pelagica",3896,"2","US-MA","Local Park","2026-05-22","07:07 AM","eBird - Traveling Count",67,1,0.962,NA,1,"",NA
"CHK-0030","Chimney Swift","Chaetura pelagica",3896,"17","US-MA","Local Park","2026-05-22","10:05 AM","eBird - Traveling Count",66,1,0.917,NA,1,"",NA
"CHK-0034","Chimney Swift","Chaetura pelagica",3896,"4","US-MA","Local Park","2026-05-26","06:51 AM","eBird - Traveling Count",68,1,0.93,NA,1,"",NA
"CHK-0033","Chimney Swift","Chaetura pelagica",3896,"1","US-MA","Local Park","2026-05-26","09:56 AM","eBird - Traveling Count",64,1,0.936,NA,1,"",NA
"CHK-0036","Chimney Swift","Chaetura pelagica",3896,"1","US-MA","Local Park","2026-05-27","05:48 AM","eBird - Traveling Count",66,1,0.902,NA,1,"",NA
"CHK-0037","Chimney Swift","Chaetura pelagica",3896,"6","US-MA","Local Park","2026-05-27","09:00 AM","eBird - Traveling Count",67,1,0.919,NA,1,"",NA
"CHK-0035","Chimney Swift","Chaetura pelagica",3896,"7","US-MA","Local Park","2026-05-28","11:20 AM","eBird - Traveling Count",72,1,1.029,NA,1,"",NA
"CHK-0039","Chimney Swift","Chaetura pelagica",3896,"5","US-MA","Local Park","2026-05-29","09:35 AM","eBird - Traveling Count",65,1,0.993,NA,1,"",NA
"CHK-0040","Chimney Swift","Chaetura pelagica",3896,"1","US-MA","Local Park","2026-06-03","09:58 AM","eBird - Traveling Count",68,1,0.947,NA,1,"",NA
"CHK-0032","Ruby-throated Hummingbird","Archilochus colubris",4802,"1","US-MA","Local Park","2026-05-22","07:07 AM","eBird - Traveling Count",67,1,0.962,NA,1,"",NA
"CHK-0030","Ruby-throated Hummingbird","Archilochus colubris",4802,"1","US-MA","Local Park","2026-05-22","10:05 AM","eBird - Traveling Count",66,1,0.917,NA,1,"",NA
"CHK-0034","Ruby-throated Hummingbird","Archilochus colubris",4802,"1","US-MA","Local Park","2026-05-26","06:51 AM","eBird - Traveling Count",68,1,0.93,NA,1,"",NA
"CHK-0033","Ruby-throated Hummingbird","Archilochus colubris",4802,"1","US-MA","Local Park","2026-05-26","09:56 AM","eBird - Traveling Count",64,1,0.936,NA,1,"",NA
"CHK-0036","Ruby-throated Hummingbird","Archilochus colubris",4802,"1","US-MA","Local Park","2026-05-27","05:48 AM","eBird - Traveling Count",66,1,0.902,NA,1,"",NA
"CHK-0037","Ruby-throated Hummingbird","Archilochus colubris",4802,"1","US-MA","Local Park","2026-05-27","09:00 AM","eBird - Traveling Count",67,1,0.919,NA,1,"",NA
"CHK-0035","Ruby-throated Hummingbird","Archilochus colubris",4802,"1","US-MA","Local Park","2026-05-28","11:20 AM","eBird - Traveling Count",72,1,1.029,NA,1,"",NA
